Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10001,Division Alma,Produits forestiers Résolu,Alma,1100 Melanion Street,G8B 5W2,Quebec,48.565,-71.65556,56.67,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Mechanical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322111&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10001-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110001&GoCTemplateCulture=en-CA
"
10003,"Foothills Pipeline, Alberta",Foothills Pipe Lines Ltd.,Airdrie,,T4A 2G7,Alberta,0,0,300.68,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10003-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110003&GoCTemplateCulture=en-CA
"
10004,Kingston CoGen,Northland Power Inc.,Bath,5146 Taylor-Kidd Boulevard,K0H 1G0,Ontario,44.2095,-76.7246,0.81,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10004-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110004&GoCTemplateCulture=en-CA
"
10006,Redwater Fertilizer Operations,Agrium Inc.,Sturgeon County,56225 SH643,T0A 2W0,Alberta,53.842,-113.093,1 047.65,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Chemical Fertilizer (except Potash) Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10006-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110006&GoCTemplateCulture=en-CA
"
10007,Alberta Envirofuels,Keyera Corp,Edmonton,9511 17 Street Northwest,T6P 1Y3,Alberta,53.53199,-113.36492,313.47,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Petrochemical Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10007-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110007&GoCTemplateCulture=en-CA
"
10008,Alliance Pipeline Ltd. - AB Pipeline System,Alliance Pipeline Ltd. Partnership,Calgary,200 425 1st Street Southwest,T2P 3L8,Alberta,51.049,-114.067,533.54,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10008-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110008&GoCTemplateCulture=en-CA
"
10009,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,County of Athabasca,,T0A 0M0,Alberta,54.92312,-112.86187,150.58,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Chemical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10009-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110009&GoCTemplateCulture=en-CA
"
10010,Rio Tinto Alcan Inc.,Rio Tinto Alcan Inc,1 Smeltersite Road,1 Smeltersite Road,V8C 2H2,British Columbia,54.00286,-128.69531,573.14,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10010-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110010&GoCTemplateCulture=en-CA
"
10011,Algoma Steel Inc,Algoma Steel Inc.,Sault Ste. Marie,105 West Street North,P6A 7B4,Ontario,46.5217,-84.3637,4 111.48,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10011-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110011&GoCTemplateCulture=en-CA
"
10012,Aluminerie Alouette inc.,Aluminerie Alouette inc.,Sept-Îles,400 Chemin de de la Pointe-Noire,G4R 5M9,Quebec,50.1583,-66.4416,1 147.8,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10012-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110012&GoCTemplateCulture=en-CA
"
